Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,924013,290000,76,4,1783033,238253,138044,60,720605,0,0,0,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,697147,778300,38,3,485023,204030,170255,37,296867,0,0,0,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,515221,555600,58,5,506004,148164,152654,48,211764,0,0,0,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,83758791,2279400,1,1,16656458,1243427,915992,19,1173929,0,0,0,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,35856177,0,0,0,81878734,46482460,47729950,9,46321381,0,0,0,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,3668438,2222600,19,4,1563424,592683,435855,12,737642,0,0,0,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,210161746,1493600,2,2,14729341,828529,434133,10,614781,0,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,3067714,2867000,4,2,12361951,1592785,1480604,19,2057916,0,0,0,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,6548,889019,925944,18,788679,0,0,0,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,248543,0,0,0,3626861,1795450,1105973,23,1568756,0,0,0,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,75645875,80752336,3,107751927,0,0,0,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,20700,0,0,0,60350,234648,147769,29,165504,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,181896964,177302370,3,145063198,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,1999999,42757050,36601392,7,42093787,0,0,0,,
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,3000,750,151100,0,0,0,7678394,10312343,13056602,18,9948176,0,0,0,,
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,6400,1600,0,0,0,0,0,313001363,307661241,6,224062243,0,0,0,,
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,3600,900,0,0,0,0,2.00E+05,156742552,169803718,9,241650624,0,0,0,,
4403,Portable Bronze Mortar,33,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,1217013111,1174906187,2,1118183296,0,0,0,,
4405,Crude Scope,12,Consumable,Explosives and Devices,500,125,258391,250000,1,1,207828,445886,433685,6,600903,0,0,0,,
4406,Standard Scope,22,Consumable,Explosives and Devices,2400,600,4743574,3000900,10,4,5020882,8201045,3730431,10,8112731,0,0,0,,
4407,Accurate Scope,36,Consumable,Explosives and Devices,4800,1200,66855,1800,16,5,2084680,3277157,2614532,10,3817624,0,0,0,,
4852,Flash Bomb,37,Consumable,Explosives and Devices,1200,300,0,0,0,0,0,1280263978,755840850,2,1306300112,0,0,0,,
5507,Ornate Spyglass,27,Consumable,Explosives and Devices,2400,600,2121298,4209900,6,6,3306842,4163624,3124531,5,3737684,0,0,0,,
6714,Ez-Thro Dynamite,25,Consumable,Explosives and Devices,300,75,0,0,0,0,5000,593454,522942,11,345990,0,0,0,,
7148,Goblin Jumper Cables,33,Consumable,Explosives and Devices,85,21,291882912,0,0,0,291882903,86585224,95583405,2,87318493,0,0,0,,
10507,Solid Dynamite,35,Consumable,Explosives and Devices,1400,350,2251915,0,0,0,33709012,7366771,6441614,26,9321525,0,0,0,,
10514,Mithril Frag Bomb,43,Consumable,Explosives and Devices,3000,750,0,0,0,0,5645098,1588834,1918925,20,2815875,0,0,0,,
10546,Deadly Scope,42,Consumable,Explosives and Devices,6000,1500,0,0,0,0,35030643,16521024,14007408,3,21857021,0,0,0,,
10548,Sniper Scope,48,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,75867418,70537020,2,70862390,0,0,0,,
10562,Hi-Explosive Bomb,47,Consumable,Explosives and Devices,3000,750,413853,597200,20,1,837074,1019952,719015,72,864422,0,0,0,,
10586,The Big One,45,Consumable,Explosives and Devices,3000,750,0,0,0,0,0,150796698,160191280,4,215460998,0,0,0,,
10646,Goblin Sapper Charge,41,Consumable,Explosives and Devices,2000,500,0,0,0,0,0,92363568,116703871,3,84502124,0,0,0,,
10978,Small Glimmering Shard,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,38822,40399,175,38822,0,0,0,,
10998,Lesser Astral Essence,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,21239,20400,11,21239,0,0,0,,
11082,Greater Astral Essence,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,171344,247999,35,171344,0,0,0,,
11083,Soul Dust,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,47920,68497,19,47920,0,0,0,,
11084,Large Glimmering Shard,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,64906,89999,7,64906,0,0,0,,
11134,Lesser Mystic Essence,30,Consumable,Explosives and Devices,0,0,0,0,0,0,0,104438,49999,2,104438,0,0,0,,
11135,Greater Mystic Essence,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,96212,25200,22,96212,0,0,0,,
11137,Vision Dust,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,103375,63999,41,103375,0,0,0,,
11138,Small Glowing Shard,30,Consumable,Explosives and Devices,0,0,0,0,0,0,0,30726,19800,15,30726,0,0,0,,
