Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0.12726131
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,809646,290000,76,4,1745996,240191,231829,33,719340,178076,0.6,0.02,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,710315,737900,38,2,502753,196779,216269,23,297360,85332,0.18,0.01,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,520900,555600,50,3,506044,146864,173939,21,210417,4135,0.18,0.01,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,65065199,2217100,4,2,16980408,1231730,1041253,8,1177121,745744,0.16,0.02,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,36323560,0,0,0,80709329,44755726,49730580,2,46457592,216984,0.12,0.06,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,3423594,2222600,16,2,1616550,577679,718281,7,740056,911819,0.99,0.11,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,166125498,1426500,2,1,15044058,792474,826940,3,620236,60,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,3047633,2867000,3,1,9338569,1631742,1169568,7,2047281,1387270,0.48,0.06,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,6548,873914,479930,14,790257,590147,0.96,0.08,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,243711,0,0,0,3271907,1776522,1396535,11,1572604,887368,0.48,0.04,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,83078681,93424658,1,107352673,8113712,0.08,0.08,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,20700,0,0,0,60350,226406,166970,17,165767,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,180848636,188454058,1,146900109,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,1999999,44364554,33985773,3,42020730,12763146,0.21,0.07,,
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,3000,750,151100,0,0,0,7678394,12222808,15859572,11,10039718,2858632,0.52,0.04,,
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,6400,1600,0,0,0,0,0,70079945,299684811,2,220640414,0,0,0,,
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,3600,900,0,0,0,0,2.00E+05,176617720,345284350,3,239320704,0,0,0,,
4403,Portable Bronze Mortar,33,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,1209269209,537276725,1,1105896388,0,0,0,,
4405,Crude Scope,12,Consumable,Explosives and Devices,500,125,248725,250000,1,1,137573,436263,452901,3,598681,370003,0.05,0.05,,
4406,Standard Scope,22,Consumable,Explosives and Devices,2400,600,4354535,3000900,7,3,5091698,7963939,6481235,5,8092894,4527403,0.92,0.23,,
4407,Accurate Scope,36,Consumable,Explosives and Devices,4800,1200,52075,7500,12,4,2010292,3021372,3319735,4,3790875,2202971,0.21,0.07,,
4852,Flash Bomb,37,Consumable,Explosives and Devices,1200,300,0,0,0,0,0,1225925901,814797066,1,1308017188,0,0,0,,
5507,Ornate Spyglass,27,Consumable,Explosives and Devices,2400,600,2322555,4209900,7,7,3258557,4116032,3618400,2,3752984,2384130,0.04,0.04,,
6714,Ez-Thro Dynamite,25,Consumable,Explosives and Devices,300,75,0,0,0,0,5000,620600,446800,5,358459,322196,0.95,0.19,,
7148,Goblin Jumper Cables,33,Consumable,Explosives and Devices,85,21,291882910,0,0,0,291882903,87321439,122631540,1,87226367,13220100,0.03,0.03,,
10507,Solid Dynamite,35,Consumable,Explosives and Devices,1400,350,106882,500,14,1,35437423,7369443,6719803,14,9329203,1007443,0.76,0.04,,
10514,Mithril Frag Bomb,43,Consumable,Explosives and Devices,3000,750,0,0,0,0,5645098,1416124,926623,18,2787880,2250,0,0,,
10546,Deadly Scope,42,Consumable,Explosives and Devices,6000,1500,0,0,0,0,35030643,16464033,12859944,2,21785269,10775449,0.03,0.03,,
10548,Sniper Scope,48,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,77619583,89462375,2,71449233,65104142,0.05,0.05,,
10562,Hi-Explosive Bomb,47,Consumable,Explosives and Devices,3000,750,392315,0,0,0,800815,1019989,921305,41,865192,383243,1.14,0.03,,
10586,The Big One,45,Consumable,Explosives and Devices,3000,750,0,0,0,0,0,132296799,157550312,2,215700412,1180,0,0,,
10646,Goblin Sapper Charge,41,Consumable,Explosives and Devices,2000,500,0,0,0,0,0,87398734,97482970,1,83740160,142025,0.11,0.11,,
10978,Small Glimmering Shard,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,38822,40399,175,38822,0,0,0,,
10998,Lesser Astral Essence,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,21239,20400,11,21239,0,0,0,,
11082,Greater Astral Essence,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,171344,247999,35,171344,0,0,0,,
11083,Soul Dust,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,47920,68497,19,47920,0,0,0,,
