Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0.112603617
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,698077,290000,36,3,1714147,226346,265539,33,709554,178076,0.6,0.02,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,709309,737900,47,3,513282,197021,211682,23,295873,85332,0.18,0.01,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,525750,550700,52,4,506490,146198,169241,24,208917,4821,0.18,0.01,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,57555502,2217100,11,3,16995578,1119806,1160890,7,1177069,822687,0.24,0.03,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,35878685,0,0,0,80082862,41209887,31080760,7,46520336,216984,0.12,0.06,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,3257553,2166300,19,3,1647840,563185,742050,10,743843,911819,0.99,0.11,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,148710532,1426500,2,1,15059836,796778,915360,4,626954,60,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,2981168,2867000,4,2,8609888,1630539,1126069,8,2040933,1387270,0.48,0.06,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,6548,867175,987542,10,791656,590147,0.96,0.08,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,242288,0,0,0,2934343,1973692,2204456,10,1565992,888930,0.48,0.04,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,86410341,102794988,1,107009537,8113712,0.08,0.08,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,20700,0,0,0,60350,214931,131300,10,165198,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,178185901,213253191,1,148056372,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,1999999,43924695,51241243,3,42256238,14116998,0.16,0.08,,
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,3000,750,151100,0,0,0,7678394,11562101,10175392,11,10081383,2858632,0.52,0.04,,
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,6400,1600,0,0,0,0,0,157346870,224694888,5,216649653,0,0,0,,
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,3600,900,0,0,0,0,2.00E+05,137634557,309853357,3,236269909,0,0,0,,
4403,Portable Bronze Mortar,33,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,1043389991,495677520,1,1104371842,0,0,0,,
4405,Crude Scope,12,Consumable,Explosives and Devices,500,125,175790,10100,2,2,138149,452414,554468,3,591169,360240,0.05,0.05,,
4406,Standard Scope,22,Consumable,Explosives and Devices,2400,600,4205338,3000900,11,4,5110946,8438667,5598178,5,8067683,4502954,0.92,0.23,,
4407,Accurate Scope,36,Consumable,Explosives and Devices,4800,1200,51037,0,0,0,1727310,3049088,4241029,3,3765309,2230289,0.21,0.07,,
4852,Flash Bomb,37,Consumable,Explosives and Devices,1200,300,0,0,0,0,0,1170241303,1478846500,1,1306792998,0,0,0,,
5507,Ornate Spyglass,27,Consumable,Explosives and Devices,2400,600,2574301,4209900,8,8,3272992,4280245,3675348,2,3769123,2336499,0.04,0.04,,
6714,Ez-Thro Dynamite,25,Consumable,Explosives and Devices,300,75,0,0,0,0,5000,627633,570012,5,362804,322196,0.95,0.19,,
7148,Goblin Jumper Cables,33,Consumable,Explosives and Devices,85,21,291882906,0,0,0,291882903,91693487,100174545,1,87205786,13220100,0.03,0.03,,
10507,Solid Dynamite,35,Consumable,Explosives and Devices,1400,350,68705,500,14,1,35437308,6604101,6497996,12,9327341,1007443,0.76,0.04,,
10514,Mithril Frag Bomb,43,Consumable,Explosives and Devices,3000,750,231100,231100,3,1,3840432,1383829,1095180,15,2760350,2250,0,0,,
10546,Deadly Scope,42,Consumable,Explosives and Devices,6000,1500,0,0,0,0,35030643,16655505,15427080,2,21718289,10917764,0.03,0.03,,
10548,Sniper Scope,48,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,84298322,84232900,1,72122924,65104142,0.05,0.05,,
10562,Hi-Explosive Bomb,47,Consumable,Explosives and Devices,3000,750,484406,470600,88,2,670538,981888,1235640,52,865686,383243,1.14,0.03,,
10586,The Big One,45,Consumable,Explosives and Devices,3000,750,0,0,0,0,0,118862471,119160653,1,214912146,1180,0,0,,
10646,Goblin Sapper Charge,41,Consumable,Explosives and Devices,2000,500,0,0,0,0,0,85580385,129090762,3,83644398,142025,0.11,0.11,,
10978,Small Glimmering Shard,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,38822,40399,175,38822,0,0,0,,
10998,Lesser Astral Essence,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,21239,20400,11,21239,0,0,0,,
11082,Greater Astral Essence,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,171344,247999,35,171344,0,0,0,,
11083,Soul Dust,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,47920,68497,19,47920,0,0,0,,
11084,Large Glimmering Shard,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,64906,89999,7,64906,0,0,0,,
11134,Lesser Mystic Essence,30,Consumable,Explosives and Devices,0,0,0,0,0,0,0,104438,49999,2,104438,0,0,0,,
11135,Greater Mystic Essence,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,96212,25200,22,96212,0,0,0,,
11137,Vision Dust,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,103375,63999,41,103375,0,0,0,,
11138,Small Glowing Shard,30,Consumable,Explosives and Devices,0,0,0,0,0,0,0,30726,19800,15,30726,0,0,0,,
11139,Large Glowing Shard,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,169263,149500,12,169263,0,0,0,,
11174,Lesser Nether Essence,40,Consumable,Explosives and Devices,0,0,0,0,0,0,0,330705,423999,9,330705,0,0,0,,
11175,Greater Nether Essence,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,710394,679999,20,710394,0,0,0,,
11176,Dream Dust,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,55237,49199,36,55237,0,0,0,,
11177,Small Radiant Shard,40,Consumable,Explosives and Devices,0,0,0,0,0,0,0,10804,10200,3,10804,0,0,0,,
11178,Large Radiant Shard,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,1214020,2018348,3,1214020,0,0,0,,
11590,Mechanical Repair Kit,40,Consumable,Explosives and Devices,1000,250,0,0,0,0,0,2300982,1654753,3,3272659,31362,0,0,,
