Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,617530,290000,74,3,1683426,226346,265539,33,709554,0,0,0,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,711854,737900,35,2,523540,197021,211682,23,295873,0,0,0,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,525732,550700,79,5,506876,146198,169241,24,208917,0,0,0,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,43745562,2217100,21,3,17010213,1119806,1160890,7,1177069,0,0,0,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,36093592,0,0,0,79099981,41209887,31080760,7,46520336,0,0,0,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,3068899,2166300,16,2,1678352,563185,742050,10,743843,0,0,0,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,120543551,0,0,0,15075013,796778,915360,4,626954,0,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,2991176,4632500,3,1,6007624,1630539,1126069,8,2040933,0,0,0,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,6548,867175,987542,10,791656,0,0,0,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,242087,0,0,0,2680385,1973692,2204456,10,1565992,0,0,0,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,86410341,102794988,1,107009537,0,0,0,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,20700,0,0,0,60350,214931,131300,10,165198,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,178185901,213253191,1,148056372,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,43924695,51241243,3,42256238,0,0,0,,
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,3000,750,151100,0,0,0,7678394,11562101,10175392,11,10081383,0,0,0,,
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,6400,1600,0,0,0,0,0,157346870,224694888,5,216649653,0,0,0,,
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,3600,900,0,0,0,0,2.00E+05,137634557,309853357,3,236269909,0,0,0,,
4403,Portable Bronze Mortar,33,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,1043389991,495677520,1,1104371842,0,0,0,,
4405,Crude Scope,12,Consumable,Explosives and Devices,500,125,171755,10100,1,1,134948,452414,554468,3,591169,0,0,0,,
4406,Standard Scope,22,Consumable,Explosives and Devices,2400,600,4084715,3000900,5,2,5125881,8438667,5598178,5,8067683,0,0,0,,
4407,Accurate Scope,36,Consumable,Explosives and Devices,4800,1200,50234,31800,3,1,1463525,3049088,4241029,3,3765309,0,0,0,,
4852,Flash Bomb,37,Consumable,Explosives and Devices,1200,300,0,0,0,0,0,1170241303,1478846500,1,1306792998,0,0,0,,
5507,Ornate Spyglass,27,Consumable,Explosives and Devices,2400,600,2888087,4209900,2,2,3314250,4280245,3675348,2,3769123,0,0,0,,
6714,Ez-Thro Dynamite,25,Consumable,Explosives and Devices,300,75,0,0,0,0,5000,627633,570012,5,362804,0,0,0,,
7148,Goblin Jumper Cables,33,Consumable,Explosives and Devices,85,21,291882909,0,0,0,291882903,91693487,100174545,1,87205786,0,0,0,,
