Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0.137278591
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,547052,290000,66,3,1683426,222615,271754,32,699996,193126,0.6,0.02,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,707506,737900,47,3,523540,199574,201664,17,294502,85332,0.18,0.01,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,533450,550700,75,5,506876,148662,159379,20,207588,4821,0.18,0.01,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,34796477,2217100,22,4,17010213,1132280,1073871,8,1176479,822687,0.24,0.03,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,36082750,0,0,0,79099981,40997089,37232116,5,46558617,216984,0.12,0.06,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,2856995,2069600,7,2,1678352,551895,547107,8,745596,911819,0.99,0.11,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,97930075,1441700,2,1,15075013,800922,640466,4,639858,60,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,3340605,4632500,4,2,6007624,1707647,2242806,13,2036154,1387270,0.48,0.06,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,6548,879210,1079272,9,793219,590147,0.96,0.08,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,243774,0,0,0,2680385,2132567,2026773,13,1567585,900678,0.48,0.04,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,88229219,103633936,1,106711392,8113712,0.08,0.08,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,20700,0,0,0,60350,212217,233071,15,166428,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,186354130,219525654,1,149092304,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,43599330,46089445,5,42490855,13809600,0.12,0.06,,
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,3000,750,151100,0,0,0,7678394,9547503,9129169,12,10086081,3046373,0.52,0.04,,
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,6400,1600,0,0,0,0,0,131768792,240194237,2,214804417,0,0,0,,
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,3600,900,0,0,0,0,2.00E+05,133943941,366049233,2,233088834,0,0,0,,
4403,Portable Bronze Mortar,33,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,1014984026,1165740442,1,1093721115,0,0,0,,
4405,Crude Scope,12,Consumable,Explosives and Devices,500,125,146705,10100,2,2,134948,477836,559245,4,589215,331699,0.04,0.04,,
4406,Standard Scope,22,Consumable,Explosives and Devices,2400,600,3959562,3000900,5,2,5125881,8898172,6373493,5,8054094,4495812,0.92,0.23,,
4407,Accurate Scope,36,Consumable,Explosives and Devices,4800,1200,40348,31800,3,1,1463525,3539322,5532741,5,3748036,2245588,0.21,0.07,,
4852,Flash Bomb,37,Consumable,Explosives and Devices,1200,300,0,0,0,0,0,1125313454,1369576775,1,1306043118,0,0,0,,
