Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,522431,284500,75,4,1688458,222615,271754,32,699996,0,0,0,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,713321,737900,38,2,533798,199574,201664,17,294502,0,0,0,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,531358,550700,51,4,507719,148662,159379,20,207588,0,0,0,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,32332556,2217100,15,3,17024848,1132280,1073871,8,1176479,0,0,0,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,36015920,0,0,0,77667156,40997089,37232116,5,46558617,0,0,0,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,2858784,2069600,19,3,1716681,551895,547107,8,745596,0,0,0,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,94198902,1441700,2,1,15088347,800922,640466,4,639858,0,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,3335102,4632500,4,2,5262121,1707647,2242806,13,2036154,0,0,0,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,6548,879210,1079272,9,793219,0,0,0,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,245586,0,0,0,2576507,2132567,2026773,13,1567585,0,0,0,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,88229219,103633936,1,106711392,0,0,0,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,20700,0,0,0,60350,212217,233071,15,166428,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,186354130,219525654,1,149092304,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,43599330,46089445,5,42490855,0,0,0,,
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,3000,750,151100,0,0,0,7678394,9547503,9129169,12,10086081,0,0,0,,
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,6400,1600,0,0,0,0,0,131768792,240194237,2,214804417,0,0,0,,
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,3600,900,0,0,0,0,2.00E+05,133943941,366049233,2,233088834,0,0,0,,
4403,Portable Bronze Mortar,33,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,1014984026,1165740442,1,1093721115,0,0,0,,
4405,Crude Scope,12,Consumable,Explosives and Devices,500,125,132514,10100,2,2,131903,477836,559245,4,589215,0,0,0,,
4406,Standard Scope,22,Consumable,Explosives and Devices,2400,600,3852135,0,0,0,5143567,8898172,6373493,5,8054094,0,0,0,,
4407,Accurate Scope,36,Consumable,Explosives and Devices,4800,1200,45976,31800,3,1,1287665,3539322,5532741,5,3748036,0,0,0,,
4852,Flash Bomb,37,Consumable,Explosives and Devices,1200,300,0,0,0,0,0,1125313454,1369576775,1,1306043118,0,0,0,,
5507,Ornate Spyglass,27,Consumable,Explosives and Devices,2400,600,3220483,3500900,7,7,3387540,4404675,3677116,2,3814255,0,0,0,,
