Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0.177658535
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,482110,284500,73,3,1688458,213687,256257,38,690019,198848,0.9,0.03,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,714521,737900,26,1,533798,196715,200231,19,294143,877,0.18,0.01,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,538663,550700,43,3,507719,150211,160082,20,206288,4821,0.18,0.01,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,28403371,2217100,15,3,17024848,1021667,836964,8,1177946,814550,0.24,0.03,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,36207297,0,0,0,77667156,38634106,34459763,7,46484634,216984,0.12,0.06,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,2772668,2069600,16,2,1716681,562679,679030,6,747087,911819,0.99,0.11,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,81898384,0,0,0,15088347,803705,842900,3,647590,60,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,3622716,4632500,7,3,5262121,1691952,1514041,15,2031267,1387270,0.48,0.06,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,6548,926391,957457,7,786475,590147,0.96,0.08,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,251500,0,0,0,2576507,2257376,1937076,16,1561835,908554,0.48,0.04,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,90607360,104394772,1,106496059,8113712,0.08,0.08,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,20700,0,0,0,60350,206987,292200,5,167594,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,189597675,208544757,1,150527705,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,43670206,47351465,3,42787912,13728502,0.18,0.06,,
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,3000,750,151100,0,0,0,7678394,9540929,8527259,13,10090907,3046373,0.52,0.04,,
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,6400,1600,0,0,0,0,0,75122700,204735975,2,208978758,0,0,0,,
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,3600,900,0,0,0,0,2.00E+05,182282835,166101022,6,230728585,0,0,0,,
4403,Portable Bronze Mortar,33,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,926622455,726060840,1,1077338304,0,0,0,,
4405,Crude Scope,12,Consumable,Explosives and Devices,500,125,117967,10100,2,2,131903,498832,647088,4,585277,319043,0.04,0.04,,
4406,Standard Scope,22,Consumable,Explosives and Devices,2400,600,4417007,8898200,4,2,5143567,9199406,5777621,7,8009963,4525530,0.92,0.23,,
4407,Accurate Scope,36,Consumable,Explosives and Devices,4800,1200,38091,31800,3,1,1287665,3736810,5128311,7,3739848,2215783,0.21,0.07,,
4852,Flash Bomb,37,Consumable,Explosives and Devices,1200,300,0,0,0,0,0,1153434267,1260129580,1,1305269848,0,0,0,,
5507,Ornate Spyglass,27,Consumable,Explosives and Devices,2400,600,3338832,3500900,7,7,3387540,3874762,6205736,2,3827616,1937012,0.03,0.03,,
6714,Ez-Thro Dynamite,25,Consumable,Explosives and Devices,300,75,0,0,0,0,5000,639405,758114,6,376476,376979,0.7,0.14,,
7148,Goblin Jumper Cables,33,Consumable,Explosives and Devices,85,21,291882907,0,0,0,291882903,94789635,101141995,1,87271180,13220100,0.03,0.03,,
10507,Solid Dynamite,35,Consumable,Explosives and Devices,1400,350,71823,0,0,0,36343434,6008330,6395730,36,9316053,1007443,0.76,0.04,,
10514,Mithril Frag Bomb,43,Consumable,Explosives and Devices,3000,750,231100,0,0,0,2396699,1272864,2172980,17,2705035,2250,0,0,,
10546,Deadly Scope,42,Consumable,Explosives and Devices,6000,1500,0,0,0,0,35030643,16849651,15678008,1,21588766,10824809,0.03,0.03,,
10548,Sniper Scope,48,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,90736205,86519345,1,73877539,65104142,0.05,0.05,,
10562,Hi-Explosive Bomb,47,Consumable,Explosives and Devices,3000,750,493405,0,0,0,527643,962521,1017227,38,867345,383243,1.14,0.03,,
10586,The Big One,45,Consumable,Explosives and Devices,3000,750,0,0,0,0,0,96977507,128705320,2,213580243,1180,0,0,,
