Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0.20196359
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,468991,284500,75,4,1688458,213687,256257,38,690019,198848,0.9,0.03,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,711771,737700,38,2,533798,196715,200231,19,294143,877,0.18,0.01,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,539725,550700,75,5,507719,150211,160082,20,206288,4821,0.18,0.01,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,28699111,2217100,15,3,17024848,1021667,836964,8,1177946,814550,0.24,0.03,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,35877604,0,0,0,77667156,38634106,34459763,7,46484634,216984,0.12,0.06,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,2734778,2069600,19,3,1716681,562679,679030,6,747087,911819,0.99,0.11,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,82195728,1446700,2,1,15088347,803705,842900,3,647590,60,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,3662602,4632500,7,3,5262121,1691952,1514041,15,2031267,1387270,0.48,0.06,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,6548,926391,957457,7,786475,590147,0.96,0.08,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,251500,0,0,0,2576507,2257376,1937076,16,1561835,908554,0.48,0.04,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,90607360,104394772,1,106496059,8113712,0.08,0.08,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,20700,0,0,0,60350,206987,292200,5,167594,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,189597675,208544757,1,150527705,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,43670206,47351465,3,42787912,13728502,0.18,0.06,,
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,3000,750,151100,0,0,0,7678394,9540929,8527259,13,10090907,3046373,0.52,0.04,,
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,6400,1600,0,0,0,0,0,75122700,204735975,2,208978758,0,0,0,,
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,3600,900,0,0,0,0,2.00E+05,182282835,166101022,6,230728585,0,0,0,,
4403,Portable Bronze Mortar,33,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,926622455,726060840,1,1077338304,0,0,0,,
4405,Crude Scope,12,Consumable,Explosives and Devices,500,125,116846,10100,2,2,131903,498832,647088,4,585277,319043,0.04,0.04,,
4406,Standard Scope,22,Consumable,Explosives and Devices,2400,600,4743097,8898200,3,2,5143567,9199406,5777621,7,8009963,4525530,0.92,0.23,,
4407,Accurate Scope,36,Consumable,Explosives and Devices,4800,1200,37497,11800,6,2,1287665,3736810,5128311,7,3739848,2215783,0.21,0.07,,
4852,Flash Bomb,37,Consumable,Explosives and Devices,1200,300,0,0,0,0,0,1153434267,1260129580,1,1305269848,0,0,0,,
5507,Ornate Spyglass,27,Consumable,Explosives and Devices,2400,600,3318749,3500900,7,7,3387540,3874762,6205736,2,3827616,1937012,0.03,0.03,,
6714,Ez-Thro Dynamite,25,Consumable,Explosives and Devices,300,75,0,0,0,0,5000,639405,758114,6,376476,376979,0.7,0.14,,
7148,Goblin Jumper Cables,33,Consumable,Explosives and Devices,85,21,291882909,0,0,0,291882903,94789635,101141995,1,87271180,13220100,0.03,0.03,,
10507,Solid Dynamite,35,Consumable,Explosives and Devices,1400,350,59937,0,0,0,36343434,6008330,6395730,36,9316053,1007443,0.76,0.04,,
10514,Mithril Frag Bomb,43,Consumable,Explosives and Devices,3000,750,231100,0,0,0,2396699,1272864,2172980,17,2705035,2250,0,0,,
10546,Deadly Scope,42,Consumable,Explosives and Devices,6000,1500,0,0,0,0,35030643,16849651,15678008,1,21588766,10824809,0.03,0.03,,
10548,Sniper Scope,48,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,90736205,86519345,1,73877539,65104142,0.05,0.05,,
10562,Hi-Explosive Bomb,47,Consumable,Explosives and Devices,3000,750,513586,592200,20,1,527643,962521,1017227,38,867345,383243,1.14,0.03,,
10586,The Big One,45,Consumable,Explosives and Devices,3000,750,0,0,0,0,0,96977507,128705320,2,213580243,1180,0,0,,
10646,Goblin Sapper Charge,41,Consumable,Explosives and Devices,2000,500,0,0,0,0,0,89428671,104242442,1,83984592,142025,0.11,0.11,,
10978,Small Glimmering Shard,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,38822,40399,175,38822,0,0,0,,
10998,Lesser Astral Essence,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,21239,20400,11,21239,0,0,0,,
11082,Greater Astral Essence,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,171344,247999,35,171344,0,0,0,,
11083,Soul Dust,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,47920,68497,19,47920,0,0,0,,
11084,Large Glimmering Shard,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,64906,89999,7,64906,0,0,0,,
11134,Lesser Mystic Essence,30,Consumable,Explosives and Devices,0,0,0,0,0,0,0,104438,49999,2,104438,0,0,0,,
11135,Greater Mystic Essence,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,96212,25200,22,96212,0,0,0,,
11137,Vision Dust,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,103375,63999,41,103375,0,0,0,,
11138,Small Glowing Shard,30,Consumable,Explosives and Devices,0,0,0,0,0,0,0,30726,19800,15,30726,0,0,0,,
11139,Large Glowing Shard,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,169263,149500,12,169263,0,0,0,,
11174,Lesser Nether Essence,40,Consumable,Explosives and Devices,0,0,0,0,0,0,0,330705,423999,9,330705,0,0,0,,
11175,Greater Nether Essence,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,710394,679999,20,710394,0,0,0,,
11176,Dream Dust,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,55237,49199,36,55237,0,0,0,,
11177,Small Radiant Shard,40,Consumable,Explosives and Devices,0,0,0,0,0,0,0,10804,10200,3,10804,0,0,0,,
11178,Large Radiant Shard,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,1214020,2018348,3,1214020,0,0,0,,
11590,Mechanical Repair Kit,40,Consumable,Explosives and Devices,1000,250,0,0,0,0,0,2172109,1572627,2,3276575,253252,0.18,0.09,,
11818,Grimesilt Outhouse Key,43,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15993,Thorium Grenade,52,Consumable,Explosives and Devices,6000,1500,0,0,0,0,2.00E+05,2104763,3869975,5,1889204,21280,2,0.2,,
16005,Dark Iron Bomb,57,Consumable,Explosives and Devices,5000,1250,0,0,0,0,0,12570168,0,0,592840858,0,0,0,,
16023,Masterwork Target Dummy,55,Consumable,Explosives and Devices,40000,10000,0,0,0,0,3.00E+05,225189860,270436300,1,561226261,0,0,0,,
16040,Arcane Bomb,60,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,8141116,0,0,31057606,0,0,0,,
17716,Snowmaster 9000,38,Consumable,Explosives and Devices,30000,7500,0,0,0,0,0,75660199,80283625,1,68676286,45561573,0.02,0.02,,
18232,Field Repair Bot 74A,60,Consumable,Explosives and Devices,40000,10000,0,0,0,0,13623003,34272624,38420868,11,36353171,17503722,0.8,0.1,,
18283,Biznicks 247x128 Accurascope,60,Consumable,Explosives and Devices,100000,25000,0,0,0,0,0,626619520,766589883,1,554415073,441443739,0.1,0.1,,
18587,Goblin Jumper Cables XL,53,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,587201411,575180770,1,835945871,35080500,0.08,0.08,,
