Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,452767,284500,75,4,1677269,213687,256257,38,690019,0,0,0,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,719406,737700,47,3,541155,196715,200231,19,294143,0,0,0,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,538298,550700,75,5,508530,150211,160082,20,206288,0,0,0,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,27040495,2217100,22,4,17039513,1021667,836964,8,1177946,0,0,0,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,35808171,0,0,0,76160852,38634106,34459763,7,46484634,0,0,0,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,2731253,2069600,19,3,1754997,562679,679030,6,747087,0,0,0,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,79684357,1446700,2,1,15101727,803705,842900,3,647590,0,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,3659993,4632500,7,3,5237905,1691952,1514041,15,2031267,0,0,0,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,6548,926391,957457,7,786475,0,0,0,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,251500,0,0,0,2510649,2257376,1937076,16,1561835,0,0,0,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,90607360,104394772,1,106496059,0,0,0,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,20700,0,0,0,60350,206987,292200,5,167594,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,189597675,208544757,1,150527705,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,43670206,47351465,3,42787912,0,0,0,,
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,3000,750,151100,0,0,0,7678394,9540929,8527259,13,10090907,0,0,0,,
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,6400,1600,0,0,0,0,0,75122700,204735975,2,208978758,0,0,0,,
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,3600,900,0,0,0,0,2.00E+05,182282835,166101022,6,230728585,0,0,0,,
4403,Portable Bronze Mortar,33,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,926622455,726060840,1,1077338304,0,0,0,,
4405,Crude Scope,12,Consumable,Explosives and Devices,500,125,107930,10100,2,2,129003,498832,647088,4,585277,0,0,0,,
4406,Standard Scope,22,Consumable,Explosives and Devices,2400,600,4815131,8898200,8,4,5297378,9199406,5777621,7,8009963,0,0,0,,
4407,Accurate Scope,36,Consumable,Explosives and Devices,4800,1200,41014,11800,1,1,1114545,3736810,5128311,7,3739848,0,0,0,,
4852,Flash Bomb,37,Consumable,Explosives and Devices,1200,300,0,0,0,0,0,1153434267,1260129580,1,1305269848,0,0,0,,
5507,Ornate Spyglass,27,Consumable,Explosives and Devices,2400,600,3386677,3500900,7,7,3420321,3874762,6205736,2,3827616,0,0,0,,
6714,Ez-Thro Dynamite,25,Consumable,Explosives and Devices,300,75,0,0,0,0,5000,639405,758114,6,376476,0,0,0,,
7148,Goblin Jumper Cables,33,Consumable,Explosives and Devices,85,21,291882908,0,0,0,291882903,94789635,101141995,1,87271180,0,0,0,,
10507,Solid Dynamite,35,Consumable,Explosives and Devices,1400,350,59937,0,0,0,37298662,6008330,6395730,36,9316053,0,0,0,,
10514,Mithril Frag Bomb,43,Consumable,Explosives and Devices,3000,750,231100,231100,3,1,2035766,1272864,2172980,17,2705035,0,0,0,,
10546,Deadly Scope,42,Consumable,Explosives and Devices,6000,1500,0,0,0,0,35030643,16849651,15678008,1,21588766,0,0,0,,
10548,Sniper Scope,48,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,90736205,86519345,1,73877539,0,0,0,,
10562,Hi-Explosive Bomb,47,Consumable,Explosives and Devices,3000,750,530213,592200,88,2,527648,962521,1017227,38,867345,0,0,0,,
10586,The Big One,45,Consumable,Explosives and Devices,3000,750,0,0,0,0,0,96977507,128705320,2,213580243,0,0,0,,
10646,Goblin Sapper Charge,41,Consumable,Explosives and Devices,2000,500,0,0,0,0,0,89428671,104242442,1,83984592,0,0,0,,
10978,Small Glimmering Shard,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,38822,40399,175,38822,0,0,0,,
10998,Lesser Astral Essence,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,21239,20400,11,21239,0,0,0,,
