Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0.164103334
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,404020,284500,34,2,1677269,237992,229186,42,679928,198848,0.9,0.03,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,728021,737700,60,4,541155,187951,199582,25,293583,877,0.18,0.01,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,544553,550700,28,2,508530,154518,156754,28,205072,4821,0.18,0.01,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,23602852,2207100,21,4,17039513,983890,1111895,12,1177975,853055,0.24,0.03,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,35755620,0,0,0,76160852,38145985,47441190,3,46440889,216984,0.12,0.06,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,2624415,2621200,16,2,1754997,465698,539235,8,747493,911819,0.99,0.11,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,67868280,0,0,0,15101727,805412,1330500,2,655370,60,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,3898778,4632500,7,3,5237905,1641562,1056038,8,2026324,1387270,0.48,0.06,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,6548,910112,1484521,11,780020,590147,0.77,0.07,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,167955,101500,15,1,2510649,2256807,1967273,17,1556899,929818,0.48,0.04,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,96536313,116265935,1,106360109,8113712,0.08,0.08,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,0,0,0,0,60350,139746,255275,9,165612,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,192175348,209494510,2,151415353,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,40407892,46138168,5,43015612,13485072,0.1,0.05,,
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,3000,750,151100,0,0,0,7678394,11572606,13072746,15,10135320,2542776,0.52,0.04,,
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,6400,1600,0,0,0,0,0,268659961,175253911,4,208592589,0,0,0,,
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,3600,900,0,0,0,0,2.00E+05,171960637,119945870,6,228024638,0,0,0,,
4403,Portable Bronze Mortar,33,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,944837609,917963300,1,1037385475,0,0,0,,
4405,Crude Scope,12,Consumable,Explosives and Devices,500,125,94827,10000,7,1,129003,510278,622015,5,579723,329289,0.04,0.04,,
4406,Standard Scope,22,Consumable,Explosives and Devices,2400,600,5734344,8898200,11,5,5297378,7719060,5434484,6,7983573,4510723,0.92,0.23,,
4407,Accurate Scope,36,Consumable,Explosives and Devices,4800,1200,33502,11800,1,1,1114545,3721777,4770413,8,3733072,2236129,0.21,0.07,,
4852,Flash Bomb,37,Consumable,Explosives and Devices,1200,300,0,0,0,0,0,1135491023,1235434840,1,1300368917,0,0,0,,
5507,Ornate Spyglass,27,Consumable,Explosives and Devices,2400,600,3307807,3450900,6,6,3420321,3779626,4327324,2,3844469,2042957,0.03,0.03,,
6714,Ez-Thro Dynamite,25,Consumable,Explosives and Devices,300,75,0,0,0,0,5000,641465,558250,5,385538,376979,0.7,0.14,,
7148,Goblin Jumper Cables,33,Consumable,Explosives and Devices,85,21,291882906,0,0,0,291882903,95397601,94613420,1,87280555,13220100,0.03,0.03,,
10507,Solid Dynamite,35,Consumable,Explosives and Devices,1400,350,61771,0,0,0,37298662,5936433,4838734,24,9316904,1254119,0.76,0.04,,
10514,Mithril Frag Bomb,43,Consumable,Explosives and Devices,3000,750,231100,231100,3,1,2035766,1261761,1388026,14,2678308,2250,0,0,,
10546,Deadly Scope,42,Consumable,Explosives and Devices,6000,1500,0,0,0,0,35030643,16831712,15930204,2,21511564,10906307,0.03,0.03,,
10548,Sniper Scope,48,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,90458045,79440450,2,74551203,65104142,0.05,0.05,,
10562,Hi-Explosive Bomb,47,Consumable,Explosives and Devices,3000,750,514304,592200,196,4,527648,969844,1047786,47,868379,383243,1.14,0.03,,
10586,The Big One,45,Consumable,Explosives and Devices,3000,750,0,0,0,0,0,153603252,149451763,2,212607317,1180,0,0,,
10646,Goblin Sapper Charge,41,Consumable,Explosives and Devices,2000,500,0,0,0,0,0,102279786,194372075,1,84944337,142025,0.11,0.11,,
10978,Small Glimmering Shard,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,38822,40399,175,38822,0,0,0,,
10998,Lesser Astral Essence,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,21239,20400,11,21239,0,0,0,,
11082,Greater Astral Essence,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,171344,247999,35,171344,0,0,0,,
11083,Soul Dust,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,47920,68497,19,47920,0,0,0,,
11084,Large Glimmering Shard,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,64906,89999,7,64906,0,0,0,,
11134,Lesser Mystic Essence,30,Consumable,Explosives and Devices,0,0,0,0,0,0,0,104438,49999,2,104438,0,0,0,,
11135,Greater Mystic Essence,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,96212,25200,22,96212,0,0,0,,
11137,Vision Dust,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,103375,63999,41,103375,0,0,0,,
11138,Small Glowing Shard,30,Consumable,Explosives and Devices,0,0,0,0,0,0,0,30726,19800,15,30726,0,0,0,,
11139,Large Glowing Shard,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,169263,149500,12,169263,0,0,0,,
11174,Lesser Nether Essence,40,Consumable,Explosives and Devices,0,0,0,0,0,0,0,330705,423999,9,330705,0,0,0,,
11175,Greater Nether Essence,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,710394,679999,20,710394,0,0,0,,
11176,Dream Dust,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,55237,49199,36,55237,0,0,0,,
11177,Small Radiant Shard,40,Consumable,Explosives and Devices,0,0,0,0,0,0,0,10804,10200,3,10804,0,0,0,,
11178,Large Radiant Shard,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,1214020,2018348,3,1214020,0,0,0,,
11590,Mechanical Repair Kit,40,Consumable,Explosives and Devices,1000,250,0,0,0,0,0,2079676,3465300,3,3273698,253252,0.18,0.09,,
11818,Grimesilt Outhouse Key,43,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15993,Thorium Grenade,52,Consumable,Explosives and Devices,6000,1500,0,0,0,0,2.00E+05,2092950,2541012,5,1884576,21280,2,0.2,,
16005,Dark Iron Bomb,57,Consumable,Explosives and Devices,5000,1250,0,0,0,0,0,12553557,0,0,579069615,0,0,0,,
16023,Masterwork Target Dummy,55,Consumable,Explosives and Devices,40000,10000,0,0,0,0,3.00E+05,219027365,237987333,1,552879947,0,0,0,,
16040,Arcane Bomb,60,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,8141116,0,0,25784389,0,0,0,,
17716,Snowmaster 9000,38,Consumable,Explosives and Devices,30000,7500,0,0,0,0,0,76250914,77021318,2,68685440,45561573,0.02,0.02,,
18232,Field Repair Bot 74A,60,Consumable,Explosives and Devices,40000,10000,0,0,0,0,14014787,35492283,34110747,9,36508608,18056040,0.8,0.1,,
18283,Biznicks 247x128 Accurascope,60,Consumable,Explosives and Devices,100000,25000,0,0,0,0,0,636325434,709977914,2,555876066,441443739,0.1,0.1,,
18587,Goblin Jumper Cables XL,53,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,625580157,774766711,1,837195589,35080500,0.08,0.08,,
18588,Ez-Thro Dynamite II,40,Consumable,Explosives and Devices,800,200,0,0,0,0,16600,515582,684725,5,797015,227221,0.25,0.05,,
18594,Powerful Seaforium Charge,55,Consumable,Explosives and Devices,12000,3000,0,0,0,0,250000,37214394,39311100,1,66607316,0,0,0,,
18641,Dense Dynamite,45,Consumable,Explosives and Devices,2000,500,230700,230700,20,1,2913305,275178,310941,18,467465,1093806,8.5,0.5,,
18645,Gnomish Alarm-o-Bot,53,Consumable,Explosives and Devices,12000,3000,0,0,0,0,0,39599491,47863655,4,37011673,4754275,0.27,0.09,,
18660,World Enlarger,1,Consumable,Explosives and Devices,30000,7500,57104062,0,0,0,101279615,66298319,60932489,1,77670664,30649303,0.03,0.03,,
18984,Dimensional Ripper - Everlook,60,Consumable,Explosives and Devices,20000,5000,0,0,0,0,0,284679382,257552343,1,252435590,728908,0.02,0.02,,
18986,Ultrasafe Transporter: Gadgetzan,60,Consumable,Explosives and Devices,20000,5000,472560217,0,0,0,522500048,268113383,237569479,1,215072495,84501845,0.05,0.05,,
19707,Red Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19708,Blue Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19709,Yellow Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19710,Orange Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19711,Green Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19712,Purple Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19713,Bronze Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19714,Silver Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19715,Gold Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20725,Nexus Crystal,60,Consumable,Explosives and Devices,0,0,0,0,0,0,0,46262,47498,43,46262,0,0,0,,
22728,Steam Tonk Controller,55,Consumable,Explosives and Devices,20000,5000,1.00E+05,0,0,0,99574482,19478619,23547347,2,22064030,3212074,0.02,0.02,,
23736,Fel Iron Bomb,60,Consumable,Explosives and Devices,10000,2500,534342,427300,10,2,434488,3171973,3362672,25,4212215,953328,0.48,0.03,,
23737,Adamantite Grenade,65,Consumable,Explosives and Devices,10000,2500,9132015,3700,33,3,547924,9463276,7546170,14,10423254,4300,0.1,0.01,,
23764,Adamantite Scope,67,Consumable,Explosives and Devices,10000,2500,0,0,0,0,438622199,155324112,131758584,2,134135633,35750678,0.05,0.05,,
23765,Khorium Scope,72,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,486119892,548808871,1,293742356,0,0,0,,
23767,Crashin' Thrashin' Robot,55,Consumable,Explosives and Devices,20000,5000,42204925,0,0,0,41411917,77127218,64611033,2,81240333,44036222,0.06,0.06,,
23819,Elemental Seaforium Charge,70,Consumable,Explosives and Devices,24000,6000,0,0,0,0,438796210,30335890,16589433,1,125167726,1337,0.5,0.5,,
23821,Zapthrottle Mote Extractor,61,Consumable,Explosives and Devices,60000,15000,199913391,200967900,3,3,142810292,116493286,137248792,1,136128056,22698299,1,1,,
23826,The Bigger One,65,Consumable,Explosives and Devices,12000,3000,0,0,0,0,0,94608163,115368607,2,96980518,14992941,0.1,0.1,,
23827,Super Sapper Charge,68,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,28956459,31424300,5,14511981,0,0,0,,
23841,Gnomish Flame Turret,70,Consumable,Explosives and Devices,12000,3000,1939774,0,0,0,1440842,6201861,3474733,3,5121622,5774765,0.75,0.25,,
30542,Dimensional Ripper - Area 52,70,Consumable,Explosives and Devices,20000,5000,0,0,0,0,0,229865812,229914875,1,264134820,110742018,0.03,0.03,,
30544,Ultrasafe Transporter: Toshley's Station,70,Consumable,Explosives and Devices,20000,5000,650381767,0,0,0,633304216,287871556,273595343,1,266543626,126382194,0.05,0.05,,
32413,Frost Grenade,65,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,2070067,1367166,25,3024180,88,0,0,,
