Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,401883,284500,34,2,1678979,237992,229186,42,679928,0,0,0,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,728343,737700,60,4,545546,187951,199582,25,293583,0,0,0,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,540981,150700,52,3,504146,154518,156754,28,205072,0,0,0,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,23252819,2207100,21,4,17053994,983890,1111895,12,1177975,0,0,0,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,35716984,0,0,0,73919606,38145985,47441190,3,46440889,0,0,0,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,2625496,2621200,16,2,1788676,465698,539235,8,747493,0,0,0,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,67216555,0,0,0,15116798,805412,1330500,2,655370,0,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,3898235,4632500,7,3,5215483,1641562,1056038,8,2026324,0,0,0,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,5676,910112,1484521,11,780020,0,0,0,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,167955,101500,15,1,2372017,2256807,1967273,17,1556899,0,0,0,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,96536313,116265935,1,106360109,0,0,0,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,0,0,0,0,60350,139746,255275,9,165612,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,192175348,209494510,2,151415353,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,40407892,46138168,5,43015612,0,0,0,,
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,3000,750,151100,0,0,0,7678394,11572606,13072746,15,10135320,0,0,0,,
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,6400,1600,0,0,0,0,0,268659961,175253911,4,208592589,0,0,0,,
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,3600,900,0,0,0,0,2.00E+05,171960637,119945870,6,228024638,0,0,0,,
4403,Portable Bronze Mortar,33,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,944837609,917963300,1,1037385475,0,0,0,,
4405,Crude Scope,12,Consumable,Explosives and Devices,500,125,93325,10000,7,1,126235,510278,622015,5,579723,0,0,0,,
4406,Standard Scope,22,Consumable,Explosives and Devices,2400,600,5779045,8898200,8,4,5451190,7719060,5434484,6,7983573,0,0,0,,
4407,Accurate Scope,36,Consumable,Explosives and Devices,4800,1200,33600,11800,1,1,940859,3721777,4770413,8,3733072,0,0,0,,
4852,Flash Bomb,37,Consumable,Explosives and Devices,1200,300,0,0,0,0,0,1135491023,1235434840,1,1300368917,0,0,0,,
5507,Ornate Spyglass,27,Consumable,Explosives and Devices,2400,600,3375354,3450900,6,6,3406856,3779626,4327324,2,3844469,0,0,0,,
6714,Ez-Thro Dynamite,25,Consumable,Explosives and Devices,300,75,0,0,0,0,5000,641465,558250,5,385538,0,0,0,,
7148,Goblin Jumper Cables,33,Consumable,Explosives and Devices,85,21,291882906,0,0,0,291882903,95397601,94613420,1,87280555,0,0,0,,
10507,Solid Dynamite,35,Consumable,Explosives and Devices,1400,350,61771,0,0,0,36409480,5936433,4838734,24,9316904,0,0,0,,
10514,Mithril Frag Bomb,43,Consumable,Explosives and Devices,3000,750,231100,231100,3,1,231100,1261761,1388026,14,2678308,0,0,0,,
10546,Deadly Scope,42,Consumable,Explosives and Devices,6000,1500,0,0,0,0,34691181,16831712,15930204,2,21511564,0,0,0,,
10548,Sniper Scope,48,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,90458045,79440450,2,74551203,0,0,0,,
10562,Hi-Explosive Bomb,47,Consumable,Explosives and Devices,3000,750,523824,592200,196,4,529666,969844,1047786,47,868379,0,0,0,,
10586,The Big One,45,Consumable,Explosives and Devices,3000,750,0,0,0,0,0,153603252,149451763,2,212607317,0,0,0,,
10646,Goblin Sapper Charge,41,Consumable,Explosives and Devices,2000,500,0,0,0,0,0,102279786,194372075,1,84944337,0,0,0,,
10978,Small Glimmering Shard,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,38822,40399,175,38822,0,0,0,,
10998,Lesser Astral Essence,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,21239,20400,11,21239,0,0,0,,
11082,Greater Astral Essence,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,171344,247999,35,171344,0,0,0,,
11083,Soul Dust,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,47920,68497,19,47920,0,0,0,,
11084,Large Glimmering Shard,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,64906,89999,7,64906,0,0,0,,
11134,Lesser Mystic Essence,30,Consumable,Explosives and Devices,0,0,0,0,0,0,0,104438,49999,2,104438,0,0,0,,
11135,Greater Mystic Essence,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,96212,25200,22,96212,0,0,0,,
11137,Vision Dust,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,103375,63999,41,103375,0,0,0,,
11138,Small Glowing Shard,30,Consumable,Explosives and Devices,0,0,0,0,0,0,0,30726,19800,15,30726,0,0,0,,
11139,Large Glowing Shard,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,169263,149500,12,169263,0,0,0,,
11174,Lesser Nether Essence,40,Consumable,Explosives and Devices,0,0,0,0,0,0,0,330705,423999,9,330705,0,0,0,,
11175,Greater Nether Essence,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,710394,679999,20,710394,0,0,0,,
11176,Dream Dust,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,55237,49199,36,55237,0,0,0,,
11177,Small Radiant Shard,40,Consumable,Explosives and Devices,0,0,0,0,0,0,0,10804,10200,3,10804,0,0,0,,
11178,Large Radiant Shard,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,1214020,2018348,3,1214020,0,0,0,,
11590,Mechanical Repair Kit,40,Consumable,Explosives and Devices,1000,250,0,0,0,0,0,2079676,3465300,3,3273698,0,0,0,,
11818,Grimesilt Outhouse Key,43,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15993,Thorium Grenade,52,Consumable,Explosives and Devices,6000,1500,0,0,0,0,2.00E+05,2092950,2541012,5,1884576,0,0,0,,
16005,Dark Iron Bomb,57,Consumable,Explosives and Devices,5000,1250,0,0,0,0,0,12553557,0,0,579069615,0,0,0,,
16023,Masterwork Target Dummy,55,Consumable,Explosives and Devices,40000,10000,0,0,0,0,3.00E+05,219027365,237987333,1,552879947,0,0,0,,
16040,Arcane Bomb,60,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,8141116,0,0,25784389,0,0,0,,
17716,Snowmaster 9000,38,Consumable,Explosives and Devices,30000,7500,0,0,0,0,0,76250914,77021318,2,68685440,0,0,0,,
18232,Field Repair Bot 74A,60,Consumable,Explosives and Devices,40000,10000,0,0,0,0,14440686,35492283,34110747,9,36508608,0,0,0,,
18283,Biznicks 247x128 Accurascope,60,Consumable,Explosives and Devices,100000,25000,0,0,0,0,0,636325434,709977914,2,555876066,0,0,0,,
18587,Goblin Jumper Cables XL,53,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,625580157,774766711,1,837195589,0,0,0,,
18588,Ez-Thro Dynamite II,40,Consumable,Explosives and Devices,800,200,0,0,0,0,16600,515582,684725,5,797015,0,0,0,,
18594,Powerful Seaforium Charge,55,Consumable,Explosives and Devices,12000,3000,0,0,0,0,250000,37214394,39311100,1,66607316,0,0,0,,
18641,Dense Dynamite,45,Consumable,Explosives and Devices,2000,500,230700,230700,20,1,2645044,275178,310941,18,467465,0,0,0,,
18645,Gnomish Alarm-o-Bot,53,Consumable,Explosives and Devices,12000,3000,0,0,0,0,0,39599491,47863655,4,37011673,0,0,0,,
18660,World Enlarger,1,Consumable,Explosives and Devices,30000,7500,57044845,0,0,0,101279615,66298319,60932489,1,77670664,0,0,0,,
18984,Dimensional Ripper - Everlook,60,Consumable,Explosives and Devices,20000,5000,0,0,0,0,0,284679382,257552343,1,252435590,0,0,0,,
18986,Ultrasafe Transporter: Gadgetzan,60,Consumable,Explosives and Devices,20000,5000,472885379,0,0,0,519444034,268113383,237569479,1,215072495,0,0,0,,
19707,Red Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19708,Blue Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19709,Yellow Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19710,Orange Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19711,Green Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19712,Purple Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19713,Bronze Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19714,Silver Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19715,Gold Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20725,Nexus Crystal,60,Consumable,Explosives and Devices,0,0,0,0,0,0,0,46262,47498,43,46262,0,0,0,,
22728,Steam Tonk Controller,55,Consumable,Explosives and Devices,20000,5000,1.00E+05,0,0,0,95249505,19478619,23547347,2,22064030,0,0,0,,
23736,Fel Iron Bomb,60,Consumable,Explosives and Devices,10000,2500,531436,427300,42,3,434083,3171973,3362672,25,4212215,0,0,0,,
23737,Adamantite Grenade,65,Consumable,Explosives and Devices,10000,2500,9192960,3700,33,3,547891,9463276,7546170,14,10423254,0,0,0,,
23764,Adamantite Scope,67,Consumable,Explosives and Devices,10000,2500,0,0,0,0,446636822,155324112,131758584,2,134135633,0,0,0,,
23765,Khorium Scope,72,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,486119892,548808871,1,293742356,0,0,0,,
23767,Crashin' Thrashin' Robot,55,Consumable,Explosives and Devices,20000,5000,42513537,0,0,0,41411917,77127218,64611033,2,81240333,0,0,0,,
23819,Elemental Seaforium Charge,70,Consumable,Explosives and Devices,24000,6000,0,0,0,0,438796210,30335890,16589433,1,125167726,0,0,0,,
23821,Zapthrottle Mote Extractor,61,Consumable,Explosives and Devices,60000,15000,199932678,200967900,3,3,144130241,116493286,137248792,1,136128056,0,0,0,,
23826,The Bigger One,65,Consumable,Explosives and Devices,12000,3000,0,0,0,0,0,94608163,115368607,2,96980518,0,0,0,,
23827,Super Sapper Charge,68,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,28956459,31424300,5,14511981,0,0,0,,
23841,Gnomish Flame Turret,70,Consumable,Explosives and Devices,12000,3000,1940208,0,0,0,1453060,6201861,3474733,3,5121622,0,0,0,,
30542,Dimensional Ripper - Area 52,70,Consumable,Explosives and Devices,20000,5000,0,0,0,0,0,229865812,229914875,1,264134820,0,0,0,,
30544,Ultrasafe Transporter: Toshley's Station,70,Consumable,Explosives and Devices,20000,5000,650779763,0,0,0,633170251,287871556,273595343,1,266543626,0,0,0,,
32413,Frost Grenade,65,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,2070067,1367166,25,3024180,0,0,0,,
34113,Field Repair Bot 110G,70,Consumable,Explosives and Devices,40000,10000,27526786,51122900,30,1,16650048,20904684,29185245,33,19364638,0,0,0,,
37567,Healing Injector Kit,80,Consumable,Explosives and Devices,5405,1351,0,0,0,0,0,2133528,3868816,11,4632501,0,0,0,,
40536,Explosive Decoy,80,Consumable,Explosives and Devices,4000,1000,425608,389000,45,3,552109,1097282,1097786,40,1554421,0,0,0,,
40727,Gnomish Gravity Well,85,Consumable,Explosives and Devices,322031,80507,336530149,353183700,1,1,266650457,123287066,117730592,2,116067917,0,0,0,,
40768,MOLL-E,80,Consumable,Explosives and Devices,0,0,39867906,39990100,4,4,43069377,41765277,31152356,2,41821279,0,0,0,,
40769,Scrapbot Construction Kit,80,Consumable,Explosives and Devices,7500,1875,61891978,69093800,14,1,33857714,12086589,11408859,37,11610737,0,0,0,,
40771,Cobalt Frag Bomb,71,Consumable,Explosives and Devices,2400,600,51538,1.00E+05,3,1,4953,1611509,1714705,8,4531139,0,0,0,,
40772,Gnomish Army Knife,71,Consumable,Explosives and Devices,9027,2256,5184146,258700,52,52,4283922,3520824,3359356,13,3937221,0,0,0,,
40892,Hammer Pick,10,Consumable,Explosives and Devices,3000,750,4813865,251100,13,13,5477321,2445192,2959202,3,2688992,0,0,0,,
40893,Bladed Pickaxe,1,Consumable,Explosives and Devices,2500,625,6915509,250900,5,5,7043668,4406167,5007156,3,6201964,0,0,0,,
