Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0.162685361
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,367914,284500,34,2,1678979,232111,290768,33,669231,187751,0.9,0.03,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,732749,737700,60,4,545546,182218,212911,24,292772,37304,0.18,0.01,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,469544,150700,54,4,504146,155713,134525,22,203809,4821,0.18,0.01,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,20139949,2207100,17,2,17053994,1004281,675993,9,1176140,853055,0.24,0.03,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,35603762,0,0,0,73919606,29944114,29760230,3,46369514,216984,0.12,0.06,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,2603674,2621200,29,3,1788676,489208,603435,8,750267,607967,0.99,0.11,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,69732935,0,0,0,15116798,774890,345520,6,662611,60,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,4050520,0,0,0,5215483,1661851,1365200,8,2031865,1387270,0.48,0.06,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,5676,874316,341112,13,777621,590147,0.77,0.07,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,430285,2001500,15,1,2372017,1908845,1970318,15,1558076,939187,0.48,0.04,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,93450609,113127505,1,106364932,8113712,0.08,0.08,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,0,0,0,0,60350,135889,116118,18,163497,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,187376157,186519704,1,153580502,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,43892450,36509318,4,43151822,13974087,0.15,0.05,,
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,3000,750,151100,0,0,0,7678394,10203382,13111964,18,10154845,2508521,0.52,0.04,,
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,6400,1600,0,0,0,0,0,140870090,227819987,4,201691575,0,0,0,,
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,3600,900,0,0,0,0,2.00E+05,176618443,190180850,2,225392501,0,0,0,,
4403,Portable Bronze Mortar,33,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,971433013,1231251666,1,1083528783,0,0,0,,
4405,Crude Scope,12,Consumable,Explosives and Devices,500,125,86145,10000,7,1,126235,515786,622312,3,574229,335069,0.04,0.04,,
4406,Standard Scope,22,Consumable,Explosives and Devices,2400,600,6241037,8898200,8,4,5451190,6612167,5820983,5,7923491,4498567,0.92,0.23,,
4407,Accurate Scope,36,Consumable,Explosives and Devices,4800,1200,25638,11800,1,1,940859,3690745,4301550,5,3725804,2274629,0.21,0.07,,
4852,Flash Bomb,37,Consumable,Explosives and Devices,1200,300,0,0,0,0,0,1141757558,1021335050,1,1256125546,0,0,0,,
5507,Ornate Spyglass,27,Consumable,Explosives and Devices,2400,600,3342501,3450900,6,6,3406856,3762985,3226662,2,3860185,2042957,0.03,0.03,,
6714,Ez-Thro Dynamite,25,Consumable,Explosives and Devices,300,75,0,0,0,0,5000,627218,706542,9,398551,376979,0.7,0.14,,
7148,Goblin Jumper Cables,33,Consumable,Explosives and Devices,85,21,291882904,0,0,0,291882903,94316908,100880390,1,87329507,13220100,0.03,0.03,,
10507,Solid Dynamite,35,Consumable,Explosives and Devices,1400,350,42990,500,2,1,36409480,5807333,5867708,28,9283597,1254119,0.76,0.04,,
10514,Mithril Frag Bomb,43,Consumable,Explosives and Devices,3000,750,231100,231100,3,1,231100,1182041,1072877,13,2651103,2250,0,0,,
10546,Deadly Scope,42,Consumable,Explosives and Devices,6000,1500,0,0,0,0,34691181,15890313,12878800,2,21419410,10906307,0.03,0.03,,
10548,Sniper Scope,48,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,83540703,77637406,1,75096116,65104142,0.05,0.05,,
10562,Hi-Explosive Bomb,47,Consumable,Explosives and Devices,3000,750,506078,592200,196,3,529666,924131,875683,45,868721,383243,1.17,0.03,,
10586,The Big One,45,Consumable,Explosives and Devices,3000,750,0,0,0,0,0,123899371,146030691,2,210938087,1180,0,0,,
10646,Goblin Sapper Charge,41,Consumable,Explosives and Devices,2000,500,0,0,0,0,0,100306415,119378512,2,85279555,0,0,0,,
10978,Small Glimmering Shard,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,38822,40399,175,38822,0,0,0,,
10998,Lesser Astral Essence,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,21239,20400,11,21239,0,0,0,,
11082,Greater Astral Essence,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,171344,247999,35,171344,0,0,0,,
11083,Soul Dust,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,47920,68497,19,47920,0,0,0,,
11084,Large Glimmering Shard,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,64906,89999,7,64906,0,0,0,,
