Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0.127132392
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,348526,284500,43,3,1680623,239101,247138,27,658295,187751,0.9,0.03,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,736517,737700,26,1,549863,183854,206966,20,290670,37304,0.18,0.01,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,458855,150700,38,3,492543,151914,128021,22,202211,4821,0.18,0.01,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,19157549,2207100,10,1,17068476,1033963,969309,9,1176436,853055,0.24,0.03,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,35480678,0,0,0,71557212,28224067,25228340,4,46466904,216984,0.12,0.06,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,2611715,2621200,29,3,1824067,443850,516878,9,749954,607967,0.99,0.11,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,65596344,0,0,0,15429371,735086,270828,7,669170,60,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,4109465,0,0,0,5194662,1714691,1452366,10,2026939,1387270,0.48,0.06,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,4368,876698,811640,9,776371,590147,0.77,0.07,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,806982,0,0,0,2279405,1970885,2133295,13,1561679,939115,0.48,0.04,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,92254044,139757893,1,106194125,8113712,0.08,0.08,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,0,0,0,0,60350,143381,203086,13,161202,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,183354981,210612484,1,155051182,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,41671456,47451168,3,43080874,13974087,0.15,0.05,,
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,3000,750,52991,41100,4,1,7678394,10239276,17015335,15,10171887,2408026,0.52,0.04,,
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,6400,1600,0,0,0,0,0,151201603,274151137,1,192408691,0,0,0,,
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,3600,900,0,0,0,0,2.00E+05,193053222,197895266,3,226858178,0,0,0,,
4403,Portable Bronze Mortar,33,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,1091382075,1846978128,1,1083707267,0,0,0,,
