Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0.119679661
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,334828,284500,45,4,1680623,239101,247138,27,658295,187751,0.9,0.03,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,737088,689500,38,2,549863,183854,206966,20,290670,37304,0.18,0.01,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,425529,150700,46,4,492543,151914,128021,22,202211,4821,0.18,0.01,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,15522091,2207100,16,2,17068476,1033963,969309,9,1176436,853055,0.24,0.03,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,36129395,0,0,0,71557212,28224067,25228340,4,46466904,216984,0.12,0.06,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,2613543,1664400,19,3,1824067,443850,516878,9,749954,607967,0.99,0.11,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,42262078,1323200,2,1,15429371,735086,270828,7,669170,60,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,3838384,3086400,1,1,5194662,1714691,1452366,10,2026939,1387270,0.48,0.06,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,4368,876698,811640,9,776371,590147,0.77,0.07,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,854482,0,0,0,2279405,1970885,2133295,13,1561679,939115,0.48,0.04,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,92254044,139757893,1,106194125,8113712,0.08,0.08,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,0,0,0,0,60350,143381,203086,13,161202,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,183354981,210612484,1,155051182,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,41671456,47451168,3,43080874,13974087,0.15,0.05,,
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,3000,750,48121,41100,4,1,7678394,10239276,17015335,15,10171887,2408026,0.52,0.04,,
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,6400,1600,0,0,0,0,0,151201603,274151137,1,192408691,0,0,0,,
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,3600,900,0,0,0,0,2.00E+05,193053222,197895266,3,226858178,0,0,0,,
4403,Portable Bronze Mortar,33,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,1091382075,1846978128,1,1083707267,0,0,0,,
4405,Crude Scope,12,Consumable,Explosives and Devices,500,125,70946,10000,2,2,52978,507062,459925,3,562685,334802,0.04,0.04,,
4406,Standard Scope,22,Consumable,Explosives and Devices,2400,600,6817519,8898200,13,3,5550099,6319574,5802095,4,7894329,4490154,0.92,0.23,,
4407,Accurate Scope,36,Consumable,Explosives and Devices,4800,1200,27138,51800,11,4,908822,3719071,4296498,5,3706050,2317527,0.21,0.07,,
4852,Flash Bomb,37,Consumable,Explosives and Devices,1200,300,0,0,0,0,0,1128072100,1720600642,1,1248657837,0,0,0,,
5507,Ornate Spyglass,27,Consumable,Explosives and Devices,2400,600,3339980,3450900,5,5,3392533,4277102,3196643,2,3885540,2042957,0.03,0.03,,
6714,Ez-Thro Dynamite,25,Consumable,Explosives and Devices,300,75,0,0,0,0,5000,603349,671090,14,410906,376979,0.7,0.14,,
7148,Goblin Jumper Cables,33,Consumable,Explosives and Devices,85,21,291882902,0,0,0,291882903,92869197,94829960,1,87354878,13220100,0.03,0.03,,
10507,Solid Dynamite,35,Consumable,Explosives and Devices,1400,350,20718,0,0,0,35425453,5884543,6429115,17,9252038,1254119,0.76,0.04,,
10514,Mithril Frag Bomb,43,Consumable,Explosives and Devices,3000,750,231100,0,0,0,231100,1234759,1669511,16,2625811,2250,0,0,,
10546,Deadly Scope,42,Consumable,Explosives and Devices,6000,1500,0,0,0,0,34346466,15493891,18101561,2,21310597,10906307,0.03,0.03,,
10548,Sniper Scope,48,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,85332577,83528850,1,75618937,65104142,0.05,0.05,,
10562,Hi-Explosive Bomb,47,Consumable,Explosives and Devices,3000,750,517779,592200,68,2,433062,920581,1057163,43,868834,174166,0.78,0.02,,
10586,The Big One,45,Consumable,Explosives and Devices,3000,750,0,0,0,0,0,120967656,159110746,2,209145858,1180,0,0,,
10646,Goblin Sapper Charge,41,Consumable,Explosives and Devices,2000,500,0,0,0,0,0,111054200,150793609,1,85443692,0,0,0,,
10978,Small Glimmering Shard,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,38822,40399,175,38822,0,0,0,,
10998,Lesser Astral Essence,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,21239,20400,11,21239,0,0,0,,
11082,Greater Astral Essence,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,171344,247999,35,171344,0,0,0,,
11083,Soul Dust,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,47920,68497,19,47920,0,0,0,,
11084,Large Glimmering Shard,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,64906,89999,7,64906,0,0,0,,
11134,Lesser Mystic Essence,30,Consumable,Explosives and Devices,0,0,0,0,0,0,0,104438,49999,2,104438,0,0,0,,
11135,Greater Mystic Essence,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,96212,25200,22,96212,0,0,0,,
11137,Vision Dust,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,103375,63999,41,103375,0,0,0,,
11138,Small Glowing Shard,30,Consumable,Explosives and Devices,0,0,0,0,0,0,0,30726,19800,15,30726,0,0,0,,
11139,Large Glowing Shard,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,169263,149500,12,169263,0,0,0,,
11174,Lesser Nether Essence,40,Consumable,Explosives and Devices,0,0,0,0,0,0,0,330705,423999,9,330705,0,0,0,,
11175,Greater Nether Essence,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,710394,679999,20,710394,0,0,0,,
11176,Dream Dust,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,55237,49199,36,55237,0,0,0,,
11177,Small Radiant Shard,40,Consumable,Explosives and Devices,0,0,0,0,0,0,0,10804,10200,3,10804,0,0,0,,
11178,Large Radiant Shard,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,1214020,2018348,3,1214020,0,0,0,,
11590,Mechanical Repair Kit,40,Consumable,Explosives and Devices,1000,250,0,0,0,0,0,2094222,2986600,2,3258960,253252,0.18,0.09,,
11818,Grimesilt Outhouse Key,43,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15993,Thorium Grenade,52,Consumable,Explosives and Devices,6000,1500,0,0,0,0,2.00E+05,1765820,1945458,12,1877932,21280,2,0.2,,
16005,Dark Iron Bomb,57,Consumable,Explosives and Devices,5000,1250,0,0,0,0,0,94715648,219428350,18,521582852,0,0,0,,
16023,Masterwork Target Dummy,55,Consumable,Explosives and Devices,40000,10000,0,0,0,0,3.00E+05,268191918,375472930,1,526966712,0,0,0,,
16040,Arcane Bomb,60,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,8096518,12316466,4,23562600,0,0,0,,
17716,Snowmaster 9000,38,Consumable,Explosives and Devices,30000,7500,0,0,0,0,0,65481559,78947164,1,68282826,45561573,0.02,0.02,,
18232,Field Repair Bot 74A,60,Consumable,Explosives and Devices,40000,10000,0,0,0,0,14906910,34055603,37555690,13,36566702,18396185,0.8,0.1,,
18283,Biznicks 247x128 Accurascope,60,Consumable,Explosives and Devices,100000,25000,0,0,0,0,0,610715008,900049571,1,560774473,441443739,0.1,0.1,,
18587,Goblin Jumper Cables XL,53,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,591488042,648092885,1,810938049,35080500,0.08,0.08,,
18588,Ez-Thro Dynamite II,40,Consumable,Explosives and Devices,800,200,0,0,0,0,16600,507613,440039,7,772522,227221,0.25,0.05,,
18594,Powerful Seaforium Charge,55,Consumable,Explosives and Devices,12000,3000,0,0,0,0,250000,49878014,53260100,1,65313982,0,0,0,,
18641,Dense Dynamite,45,Consumable,Explosives and Devices,2000,500,230700,0,0,0,2425558,271120,411508,16,459059,1093806,8.5,0.5,,
18645,Gnomish Alarm-o-Bot,53,Consumable,Explosives and Devices,12000,3000,0,0,0,0,0,36413987,43512170,4,37083200,4754275,0.27,0.09,,
18660,World Enlarger,1,Consumable,Explosives and Devices,30000,7500,56326620,0,0,0,100172560,64575939,66949594,1,76763276,30915411,0.04,0.04,,
18984,Dimensional Ripper - Everlook,60,Consumable,Explosives and Devices,20000,5000,0,0,0,0,0,280237223,228239960,1,255207391,728908,0.02,0.02,,
18986,Ultrasafe Transporter: Gadgetzan,60,Consumable,Explosives and Devices,20000,5000,470781601,0,0,0,517286288,245274424,287628361,1,215261441,84501845,0.05,0.05,,
19707,Red Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19708,Blue Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19709,Yellow Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19710,Orange Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19711,Green Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19712,Purple Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19713,Bronze Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19714,Silver Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19715,Gold Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20725,Nexus Crystal,60,Consumable,Explosives and Devices,0,0,0,0,0,0,0,46262,47498,43,46262,0,0,0,,
22728,Steam Tonk Controller,55,Consumable,Explosives and Devices,20000,5000,399925,899800,4,4,95249505,20131607,24825029,1,21942144,3212074,0.02,0.02,,
23736,Fel Iron Bomb,60,Consumable,Explosives and Devices,10000,2500,501879,427300,2,1,433726,3190240,2668661,20,4160640,953328,0.48,0.03,,
23737,Adamantite Grenade,65,Consumable,Explosives and Devices,10000,2500,7720289,43700,20,1,707456,7854779,4917268,12,10348237,4300,0.1,0.01,,
23764,Adamantite Scope,67,Consumable,Explosives and Devices,10000,2500,0,0,0,0,453429880,119985852,170701303,1,134241962,35750678,0.05,0.05,,
23765,Khorium Scope,72,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,474303292,549441533,1,296882736,0,0,0,,
23767,Crashin' Thrashin' Robot,55,Consumable,Explosives and Devices,20000,5000,41229126,0,0,0,41411917,76992454,67177734,1,81199992,44516345,0.06,0.06,,
23819,Elemental Seaforium Charge,70,Consumable,Explosives and Devices,24000,6000,0,0,0,0,438796210,23512160,23213900,6,129706306,1337,0.5,0.5,,
23821,Zapthrottle Mote Extractor,61,Consumable,Explosives and Devices,60000,15000,200286776,200967900,2,2,144130241,122431915,160737210,1,134981774,22698299,1,1,,
23826,The Bigger One,65,Consumable,Explosives and Devices,12000,3000,0,0,0,0,0,90479449,119952823,2,95140785,14992941,0.1,0.1,,
23827,Super Sapper Charge,68,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,29982775,0,0,15619301,0,0,0,,
23841,Gnomish Flame Turret,70,Consumable,Explosives and Devices,12000,3000,1917972,1878500,1,1,1472275,5695567,6236337,5,5181077,5774765,0.75,0.25,,
