Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,317560,204500,88,7,1680623,239101,247138,27,658295,0,0,0,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,733795,689500,53,3,549863,183854,206966,20,290670,0,0,0,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,394454,150700,67,5,492543,151914,128021,22,202211,0,0,0,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,14548976,2197100,36,4,17068476,1033963,969309,9,1176436,0,0,0,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,35510398,0,0,0,71557212,28224067,25228340,4,46466904,0,0,0,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,2512205,1664300,23,3,1824067,443850,516878,9,749954,0,0,0,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,49671809,1323100,6,2,15429371,735086,270828,7,669170,0,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,3864171,3086400,1,1,5194662,1714691,1452366,10,2026939,0,0,0,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,4368,876698,811640,9,776371,0,0,0,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,544980,1500,10,1,2279405,1970885,2133295,13,1561679,0,0,0,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,92254044,139757893,1,106194125,0,0,0,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,0,0,0,0,60350,143381,203086,13,161202,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,183354981,210612484,1,155051182,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,41671456,47451168,3,43080874,0,0,0,,
