Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0.12400874
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,287585,204500,53,4,1660645,225017,167244,33,637000,187751,0.9,0.03,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,726841,689500,51,2,564086,182655,193054,21,288439,37304,0.18,0.01,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,338878,150700,56,3,470302,154035,120490,18,200705,4821,0.18,0.01,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,11089564,2177100,32,3,17401803,1009824,960086,10,1176280,918661,0.24,0.03,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,35501522,0,0,0,66427441,22507943,22265533,4,46233705,216984,0.12,0.06,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,2352147,1664300,37,4,1870613,427908,523921,7,748797,607967,0.99,0.11,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,35723711,1323100,4,1,15767659,726009,520150,7,676098,60,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,3701518,3588100,3,1,5121963,1742953,1746850,6,2009638,1387270,0.48,0.06,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,1161,881822,987781,13,774923,590147,0.77,0.07,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,629300,1500,15,1,2071415,2346280,2132063,17,1566593,883563,0.48,0.04,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,92454748,111742888,1,106035326,8113712,0.08,0.08,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,0,0,0,0,60350,151644,173653,20,160059,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,184800108,192841261,2,156551910,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,41653785,46644960,2,43108238,13974087,0.1,0.05,,
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,3000,750,44510,0,0,0,6914664,10521478,12597196,11,10194365,2408026,0.52,0.04,,
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,6400,1600,0,0,0,0,0,171837598,199682675,2,186577657,0,0,0,,
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,3600,900,0,0,0,0,2.00E+05,204849790,750803175,2,228614816,0,0,0,,
4403,Portable Bronze Mortar,33,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,1112332399,1630236566,1,1072829539,0,0,0,,
4405,Crude Scope,12,Consumable,Explosives and Devices,500,125,59002,0,0,0,51847,504446,458210,3,555886,355423,0.05,0.05,,
4406,Standard Scope,22,Consumable,Explosives and Devices,2400,600,7321235,8898200,17,5,5529968,6079062,7104085,6,7861913,4495443,0.92,0.23,,
4407,Accurate Scope,36,Consumable,Explosives and Devices,4800,1200,29894,51800,9,3,880144,3610227,3972949,4,3700723,2318592,0.21,0.07,,
4852,Flash Bomb,37,Consumable,Explosives and Devices,1200,300,0,0,0,0,0,1111203867,1735830575,1,1255959030,0,0,0,,
5507,Ornate Spyglass,27,Consumable,Explosives and Devices,2400,600,2661513,300900,6,6,3348679,4508666,5828698,2,3934602,2042957,0.03,0.03,,
6714,Ez-Thro Dynamite,25,Consumable,Explosives and Devices,300,75,0,0,0,0,5000,607457,679654,13,422437,376979,0.7,0.14,,
7148,Goblin Jumper Cables,33,Consumable,Explosives and Devices,85,21,291882900,0,0,0,291882903,94169243,94577700,1,87857954,13220100,0.03,0.03,,
10507,Solid Dynamite,35,Consumable,Explosives and Devices,1400,350,7772,0,0,0,34493218,5787031,5323513,13,9228629,785342,0.57,0.03,,
10514,Mithril Frag Bomb,43,Consumable,Explosives and Devices,3000,750,187821,51100,3,1,231100,1268008,2505723,16,2574313,2250,0,0,,
10546,Deadly Scope,42,Consumable,Explosives and Devices,6000,1500,0,0,0,0,33597772,15146217,20973560,1,21196763,10434683,0.03,0.03,,
10548,Sniper Scope,48,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,85527727,100045871,1,76121181,65104142,0.05,0.05,,
10562,Hi-Explosive Bomb,47,Consumable,Explosives and Devices,3000,750,541977,592200,80,1,438035,865931,869990,42,867885,174166,0.78,0.02,,
10586,The Big One,45,Consumable,Explosives and Devices,3000,750,0,0,0,0,0,108676521,101251966,2,206760540,11140,0,0,,
10646,Goblin Sapper Charge,41,Consumable,Explosives and Devices,2000,500,0,0,0,0,0,108429076,144768375,2,86048739,0,0,0,,
10978,Small Glimmering Shard,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,38822,40399,175,38822,0,0,0,,
10998,Lesser Astral Essence,20,Consumable,Explosives and Devices,0,0,0,0,0,0,0,21239,20400,11,21239,0,0,0,,
11082,Greater Astral Essence,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,171344,247999,35,171344,0,0,0,,
11083,Soul Dust,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,47920,68497,19,47920,0,0,0,,
11084,Large Glimmering Shard,25,Consumable,Explosives and Devices,0,0,0,0,0,0,0,64906,89999,7,64906,0,0,0,,
11134,Lesser Mystic Essence,30,Consumable,Explosives and Devices,0,0,0,0,0,0,0,104438,49999,2,104438,0,0,0,,
11135,Greater Mystic Essence,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,96212,25200,22,96212,0,0,0,,
11137,Vision Dust,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,103375,63999,41,103375,0,0,0,,
11138,Small Glowing Shard,30,Consumable,Explosives and Devices,0,0,0,0,0,0,0,30726,19800,15,30726,0,0,0,,
11139,Large Glowing Shard,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,169263,149500,12,169263,0,0,0,,
11174,Lesser Nether Essence,40,Consumable,Explosives and Devices,0,0,0,0,0,0,0,330705,423999,9,330705,0,0,0,,
11175,Greater Nether Essence,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,710394,679999,20,710394,0,0,0,,
11176,Dream Dust,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,55237,49199,36,55237,0,0,0,,
11177,Small Radiant Shard,40,Consumable,Explosives and Devices,0,0,0,0,0,0,0,10804,10200,3,10804,0,0,0,,
11178,Large Radiant Shard,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,1214020,2018348,3,1214020,0,0,0,,
11590,Mechanical Repair Kit,40,Consumable,Explosives and Devices,1000,250,0,0,0,0,0,2112138,2627469,2,3291801,253252,0.18,0.09,,
11818,Grimesilt Outhouse Key,43,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15993,Thorium Grenade,52,Consumable,Explosives and Devices,6000,1500,0,0,0,0,2.00E+05,1724893,2586425,11,1874499,21280,2,0.2,,
16005,Dark Iron Bomb,57,Consumable,Explosives and Devices,5000,1250,0,0,0,0,0,49427594,413749600,18,488088067,0,0,0,,
16023,Masterwork Target Dummy,55,Consumable,Explosives and Devices,40000,10000,0,0,0,0,3.00E+05,257654348,267734890,1,500313158,0,0,0,,
16040,Arcane Bomb,60,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,6767163,16923500,18,21778799,0,0,0,,
17716,Snowmaster 9000,38,Consumable,Explosives and Devices,30000,7500,0,0,0,0,0,68146282,64698867,1,67910350,45813383,0.02,0.02,,
18232,Field Repair Bot 74A,60,Consumable,Explosives and Devices,40000,10000,0,0,0,0,15987068,32144858,40992700,11,36604988,18781048,0.8,0.1,,
