Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0.12055863
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,268883,204500,53,4,1632784,214386,162388,35,626204,187751,0.9,0.03,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,722197,689500,71,3,573210,186388,220823,25,286314,37304,0.18,0.01,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,313534,150700,87,5,455782,162463,127409,24,199439,4821,0.19,0.01,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,8089043,2177100,17,2,17411460,915516,772608,11,1178069,918661,0.24,0.03,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,34830834,0,0,0,66427441,15433523,24195250,1,45817691,216984,0.12,0.06,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,2237357,1664300,37,4,1887709,459845,488454,6,748593,607967,0.99,0.11,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,20994143,1323100,4,1,15779608,723172,553766,5,682687,60,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,3589340,3588100,3,1,5064753,1751219,1385407,11,2005990,1387270,0.48,0.06,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,505,869489,1221252,12,776642,590147,0.77,0.07,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,452104,1500,25,2,2012275,2316461,1851518,16,1562692,929207,0.48,0.04,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,90250687,104154747,1,105786760,5809123,0.08,0.08,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,0,0,0,0,60350,155244,112691,24,158063,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,184606628,182250620,1,157988122,0,0,0,,
