Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0.096382658
4358,Rough Dynamite,10,Consumable,Explosives and Devices,120,30,245667,94500,75,4,1599396,213304,161221,37,615588,187751,0.9,0.03,,
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,240,60,699713,509500,46,3,578011,179933,223984,26,284106,37304,0.18,0.01,,
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,300,75,273170,50700,63,3,439218,157359,121004,25,198268,4821,0.19,0.01,,
4366,Target Dummy,17,Consumable,Explosives and Devices,300,75,7201127,237100,30,4,17413953,920397,860201,12,1175090,918661,0.24,0.03,,
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,600,150,34712884,0,0,0,66427441,30868317,36825914,4,45668170,216984,0.12,0.06,,
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,700,175,2084846,1664300,17,2,1900529,351536,389854,7,746229,607967,0.99,0.11,,
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,800,200,19529688,0,0,0,15791556,720257,751520,4,689259,60,0,0,,
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,3259071,508100,12,3,4999840,1663384,858040,12,2000967,1387270,0.48,0.06,,
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,2000,500,0,0,0,0,505,994706,781235,11,776642,590147,0.77,0.07,,
4384,Explosive Sheep,30,Consumable,Explosives and Devices,4000,1000,318899,0,0,0,1710229,2293233,2029531,17,1572489,959117,0.48,0.04,,
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,4000,1000,0,0,0,0,299990000,94355269,108957515,1,105602937,5809123,0.08,0.08,,
4390,Iron Grenade,35,Consumable,Explosives and Devices,2000,500,500700,500700,135,1,60350,167311,181315,26,158244,0,0,0,,
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,187751065,224009534,1,159457770,0,0,0,,
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,42043559,45660658,4,43188494,14271935,0.1,0.05,,
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,3000,750,41100,0,0,0,6914664,11820446,9904242,10,10357608,2408026,0.48,0.04,,
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,6400,1600,0,0,0,0,0,179867815,248742771,2,169941243,0,0,0,,
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,3600,900,0,0,0,0,2.00E+05,190872411,381065840,8,224939801,47500650,0.13,0.13,,
4403,Portable Bronze Mortar,33,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,894158881,943594540,1,1059712078,0,0,0,,
4405,Crude Scope,12,Consumable,Explosives and Devices,500,125,68427,130100,1,1,56744,527076,549658,3,552385,353818,0.05,0.05,,
4406,Standard Scope,22,Consumable,Explosives and Devices,2400,600,5915720,508200,18,4,5498763,6599078,6181287,7,7715862,4433285,0.92,0.23,,
4407,Accurate Scope,36,Consumable,Explosives and Devices,4800,1200,32450,0,0,0,490893,3763945,5418188,6,3696944,2210230,0.21,0.07,,
4852,Flash Bomb,37,Consumable,Explosives and Devices,1200,300,0,0,0,0,0,1121123658,1542776725,1,1248987383,0,0,0,,
5507,Ornate Spyglass,27,Consumable,Explosives and Devices,2400,600,1969580,250900,6,6,3198466,4255784,3797184,2,3970470,1829579,0.03,0.03,,
6714,Ez-Thro Dynamite,25,Consumable,Explosives and Devices,300,75,0,0,0,0,5000,594155,304062,10,436073,376979,0.7,0.14,,
7148,Goblin Jumper Cables,33,Consumable,Explosives and Devices,85,21,291882900,0,0,0,291882903,61383719,90785304,1,87920052,13220100,0.03,0.03,,
10507,Solid Dynamite,35,Consumable,Explosives and Devices,1400,350,3941,0,0,0,33102718,5704778,5399745,22,9183131,725718,0.76,0.04,,
10514,Mithril Frag Bomb,43,Consumable,Explosives and Devices,3000,750,140394,51100,3,1,186100,1267785,1499405,16,2454776,2250,0,0,,
10546,Deadly Scope,42,Consumable,Explosives and Devices,6000,1500,0,0,0,0,32590041,15303660,18963918,2,20948347,10273734,0.03,0.03,,
10548,Sniper Scope,48,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,68838452,76257465,1,76778411,65104142,0.05,0.05,,
